ID,weather,time,coupon,expiration,Y
17807,Sunny,6PM,Carry out & Take away,2h,1
16774,Sunny,7AM,Coffee House,1d,1
14382,Sunny,6PM,Coffee House,2h,0
10303,Sunny,10AM,Carry out & Take away,2h,0
11672,Sunny,7AM,Bar,1d,1
18327,Sunny,10PM,Restaurant(<20),2h,1
15795,Sunny,6PM,Bar,2h,1
15218,Sunny,6PM,Restaurant(<20),1d,1
16326,Sunny,2PM,Restaurant(<20),2h,0
20238,Rainy,6PM,Bar,1d,0
17691,Snowy,10AM,Carry out & Take away,1d,1
12222,Sunny,7AM,Bar,1d,1
10585,Sunny,7AM,Restaurant(20-50),1d,0
19343,Rainy,10AM,Coffee House,1d,0
18588,Rainy,10PM,Bar,2h,1
18316,Rainy,7AM,Restaurant(<20),2h,0
16722,Sunny,6PM,Restaurant(20-50),1d,0
14341,Sunny,10PM,Carry out & Take away,1d,1
22225,Rainy,6PM,Bar,2h,1
13176,Sunny,6PM,Bar,1d,0
19288,Rainy,7AM,Carry out & Take away,2h,1
15318,Sunny,10PM,Restaurant(<20),2h,1
17043,Sunny,2PM,Restaurant(20-50),2h,1
21980,Sunny,10PM,Bar,2h,0
14450,Sunny,10PM,Carry out & Take away,1d,1
18186,Snowy,7AM,Restaurant(<20),2h,0
13376,Sunny,7AM,Coffee House,2h,0
11038,Sunny,2PM,Coffee House,1d,0
14460,Sunny,2PM,Coffee House,1d,0
17629,Sunny,10PM,Restaurant(<20),1d,1
20991,Sunny,7AM,Restaurant(20-50),2h,1
10037,Sunny,6PM,Coffee House,2h,0
11339,Sunny,6PM,Restaurant(20-50),1d,1
21682,Sunny,10PM,Restaurant(<20),2h,1
18934,Sunny,10AM,Coffee House,2h,1
12819,Sunny,7AM,Carry out & Take away,2h,1
15783,Sunny,7AM,Carry out & Take away,1d,1
12892,Sunny,7AM,Restaurant(<20),1d,1
19256,Snowy,2PM,Bar,1d,0
14914,Sunny,7AM,Coffee House,2h,1
12951,Sunny,6PM,Bar,1d,1
12743,Sunny,6PM,Restaurant(<20),2h,1
13200,Sunny,6PM,Coffee House,2h,0
13034,Sunny,6PM,Coffee House,2h,0
11800,Sunny,6PM,Bar,1d,1
16029,Sunny,6PM,Restaurant(<20),1d,1
16359,Sunny,6PM,Restaurant(<20),2h,1
11120,Sunny,7AM,Restaurant(<20),1d,1
16469,Sunny,7AM,Carry out & Take away,1d,1
18908,Rainy,7AM,Carry out & Take away,2h,1
18408,Sunny,10AM,Coffee House,1d,0
12179,Sunny,7AM,Restaurant(20-50),1d,1
13859,Sunny,6PM,Coffee House,2h,0
10320,Sunny,7AM,Carry out & Take away,2h,0
15689,Sunny,10PM,Bar,1d,0
19341,Rainy,10PM,Restaurant(20-50),2h,0
10873,Sunny,6PM,Coffee House,2h,0
15387,Sunny,7AM,Carry out & Take away,1d,0
13535,Sunny,7AM,Coffee House,2h,0
22281,Snowy,7AM,Bar,1d,1
11506,Sunny,6PM,Restaurant(<20),2h,1
17878,Rainy,7AM,Restaurant(20-50),1d,1
18732,Sunny,6PM,Bar,2h,0
17583,Sunny,6PM,Coffee House,2h,1
21392,Snowy,2PM,Restaurant(<20),1d,1
16857,Sunny,6PM,Coffee House,1d,0
17166,Snowy,10PM,Restaurant(20-50),2h,0
18718,Sunny,6PM,Coffee House,1d,0
21069,Sunny,10PM,Restaurant(20-50),2h,0
22311,Sunny,10AM,Restaurant(<20),2h,0
22009,Sunny,6PM,Carry out & Take away,1d,1
16707,Sunny,7AM,Restaurant(<20),1d,0
20662,Snowy,7AM,Carry out & Take away,1d,1
18747,Snowy,10PM,Carry out & Take away,1d,1
17230,Sunny,6PM,Carry out & Take away,2h,0
17296,Sunny,6PM,Carry out & Take away,2h,1
20356,Sunny,7AM,Coffee House,1d,1
20700,Snowy,7AM,Carry out & Take away,1d,1
17469,Snowy,10PM,Carry out & Take away,1d,1
22215,Snowy,7AM,Bar,1d,1
21856,Sunny,6PM,Carry out & Take away,1d,1
19874,Sunny,7AM,Coffee House,1d,0
18635,Sunny,10PM,Restaurant(<20),1d,0
13439,Sunny,6PM,Bar,1d,1
21972,Rainy,7AM,Carry out & Take away,1d,1
16405,Sunny,7AM,Carry out & Take away,1d,0
16871,Rainy,6PM,Restaurant(<20),2h,0
12867,Sunny,10AM,Carry out & Take away,2h,1
10534,Sunny,2PM,Restaurant(<20),1d,1
16956,Sunny,6PM,Coffee House,1d,1
10311,Sunny,2PM,Restaurant(<20),1d,1
15924,Sunny,6PM,Coffee House,1d,1
14220,Sunny,6PM,Restaurant(<20),1d,1
12530,Sunny,6PM,Restaurant(20-50),1d,0
17081,Rainy,7AM,Restaurant(<20),2h,0
19549,Sunny,7AM,Carry out & Take away,1d,1
18852,Sunny,10AM,Coffee House,1d,1
11884,Sunny,6PM,Restaurant(<20),2h,1
18369,Sunny,2PM,Restaurant(20-50),2h,0
20276,Sunny,10PM,Carry out & Take away,1d,1
10740,Sunny,7AM,Carry out & Take away,2h,0
18928,Sunny,7AM,Bar,1d,0
16486,Sunny,10PM,Carry out & Take away,1d,1
11572,Sunny,2PM,Coffee House,2h,0
14440,Sunny,10AM,Restaurant(20-50),2h,0
19355,Sunny,7AM,Restaurant(<20),1d,1
11207,Sunny,6PM,Restaurant(20-50),1d,1
14400,Sunny,6PM,Restaurant(<20),2h,1
14309,Sunny,2PM,Coffee House,1d,1
20804,Rainy,2PM,Carry out & Take away,2h,0
19495,Rainy,10AM,Coffee House,1d,0
14734,Sunny,10PM,Bar,1d,1
13601,Sunny,7AM,Coffee House,2h,0
20580,Sunny,6PM,Bar,2h,1
17812,Rainy,7AM,Restaurant(<20),2h,0
21988,Sunny,10PM,Bar,2h,0
10359,Sunny,7AM,Coffee House,2h,0
15532,Sunny,6PM,Restaurant(<20),2h,1
22642,Sunny,6PM,Restaurant(<20),2h,1
10341,Sunny,7AM,Restaurant(<20),1d,1
10182,Sunny,2PM,Coffee House,1d,1
17810,Sunny,6PM,Coffee House,1d,0
17173,Sunny,10AM,Coffee House,1d,1
13385,Sunny,2PM,Coffee House,2h,0
19820,Sunny,6PM,Carry out & Take away,1d,1
14592,Sunny,6PM,Restaurant(<20),1d,1
17024,Sunny,10AM,Coffee House,1d,1
14373,Sunny,10AM,Coffee House,1d,0
20998,Rainy,2PM,Carry out & Take away,2h,1
11971,Sunny,10AM,Carry out & Take away,2h,1
18005,Sunny,6PM,Carry out & Take away,2h,1
17933,Sunny,10PM,Restaurant(<20),2h,1
12184,Sunny,10AM,Coffee House,2h,1
17054,Sunny,6PM,Carry out & Take away,2h,1
12071,Sunny,7AM,Restaurant(<20),1d,1
17861,Sunny,10AM,Restaurant(<20),1d,1
15033,Sunny,10AM,Coffee House,1d,1
21847,Sunny,10PM,Bar,2h,1
11804,Sunny,7AM,Bar,1d,1
13228,Sunny,2PM,Restaurant(<20),1d,1
21309,Snowy,10AM,Restaurant(<20),1d,1
21262,Rainy,2PM,Carry out & Take away,2h,1
17712,Sunny,10AM,Coffee House,1d,1
18924,Sunny,6PM,Restaurant(<20),1d,1
16653,Snowy,2PM,Bar,1d,0
10809,Sunny,2PM,Restaurant(<20),1d,1
15145,Sunny,7AM,Carry out & Take away,1d,0
16583,Rainy,6PM,Carry out & Take away,1d,1
12415,Sunny,2PM,Restaurant(<20),1d,1
17992,Sunny,10AM,Coffee House,1d,0
18038,Sunny,6PM,Coffee House,2h,1
13486,Sunny,7AM,Coffee House,2h,1
21320,Snowy,7AM,Bar,1d,0
11937,Sunny,7AM,Restaurant(20-50),1d,0
12708,Sunny,7AM,Restaurant(20-50),1d,1
11176,Sunny,2PM,Coffee House,1d,0
15455,Sunny,7AM,Carry out & Take away,1d,1
11900,Sunny,10AM,Carry out & Take away,2h,1
13271,Sunny,7AM,Coffee House,2h,1
21568,Sunny,7AM,Restaurant(20-50),2h,0
18915,Sunny,10AM,Restaurant(<20),2h,0
16713,Rainy,6PM,Carry out & Take away,1d,1
13458,Sunny,2PM,Coffee House,2h,0
21106,Snowy,2PM,Restaurant(<20),1d,1
12217,Sunny,6PM,Bar,1d,1
19414,Sunny,6PM,Restaurant(<20),1d,0
22676,Sunny,6PM,Restaurant(20-50),1d,1
19279,Sunny,6PM,Restaurant(<20),1d,1
15577,Sunny,6PM,Coffee House,1d,0
21293,Sunny,10PM,Restaurant(20-50),1d,0
10824,Sunny,7AM,Coffee House,2h,1
22366,Snowy,7AM,Coffee House,1d,1
15537,Sunny,7AM,Coffee House,2h,1
11965,Sunny,10AM,Carry out & Take away,2h,1
14591,Sunny,2PM,Restaurant(<20),2h,1
17525,Sunny,10AM,Coffee House,1d,1
22620,Rainy,6PM,Bar,2h,0
15352,Sunny,10AM,Coffee House,1d,0
21416,Sunny,10AM,Restaurant(<20),2h,0
10174,Sunny,7AM,Restaurant(<20),1d,1
19195,Rainy,6PM,Bar,1d,1
20073,Sunny,7AM,Restaurant(<20),1d,0
12676,Sunny,10AM,Restaurant(20-50),1d,1
18690,Snowy,7AM,Restaurant(<20),2h,0
15981,Sunny,7AM,Coffee House,1d,1
19767,Sunny,10PM,Restaurant(20-50),1d,1
10254,Sunny,7AM,Bar,1d,0
11452,Sunny,7AM,Bar,1d,0
18157,Rainy,2PM,Restaurant(<20),2h,1
21557,Sunny,10PM,Restaurant(20-50),1d,0
19621,Sunny,2PM,Restaurant(20-50),1d,0
16202,Sunny,6PM,Bar,2h,1
11541,Sunny,7AM,Restaurant(20-50),1d,1
17907,Sunny,6PM,Coffee House,1d,1
16033,Sunny,10AM,Coffee House,1d,1
15902,Sunny,10AM,Bar,2h,0
14544,Sunny,7AM,Coffee House,1d,0
21449,Rainy,6PM,Carry out & Take away,1d,1
16848,Sunny,10PM,Coffee House,1d,0
14141,Sunny,6PM,Coffee House,1d,1
21208,Snowy,7AM,Coffee House,1d,1
13688,Sunny,7AM,Restaurant(<20),1d,1
14855,Sunny,6PM,Restaurant(<20),1d,1
20995,Sunny,10AM,Carry out & Take away,2h,1
19653,Sunny,6PM,Carry out & Take away,1d,1
12236,Sunny,10AM,Bar,2h,0
17360,Rainy,2PM,Restaurant(<20),2h,1
17117,Rainy,10AM,Carry out & Take away,2h,1
20960,Sunny,10PM,Bar,2h,0
16116,Sunny,2PM,Restaurant(<20),2h,1
14920,Sunny,2PM,Restaurant(<20),2h,1
12836,Sunny,6PM,Restaurant(20-50),1d,1
18185,Rainy,7AM,Restaurant(<20),2h,0
17769,Rainy,7AM,Restaurant(<20),2h,0
10826,Sunny,7AM,Restaurant(20-50),1d,1
16372,Sunny,2PM,Coffee House,1d,0
13005,Sunny,10AM,Coffee House,2h,0
11808,Sunny,7AM,Coffee House,2h,1
21732,Snowy,7AM,Restaurant(<20),1d,1
19920,Rainy,7AM,Bar,1d,0
