ID,destination,passanger,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
15710,Home,Alone,0,0,1,0
20904,No Urgent Place,Friend(s),0,0,0,1
12619,Home,Alone,0,0,0,1
16779,No Urgent Place,Kid(s),1,0,0,1
13453,No Urgent Place,Friend(s),1,0,0,1
18419,No Urgent Place,Partner,1,0,0,1
16428,Work,Alone,1,0,0,1
21774,Work,Alone,0,0,0,1
16969,Home,Partner,0,0,1,0
17154,No Urgent Place,Alone,1,0,0,1
10727,No Urgent Place,Friend(s),1,0,0,1
16591,Home,Alone,1,0,1,0
11260,No Urgent Place,Friend(s),0,0,0,1
22469,Home,Alone,0,0,1,0
21926,Work,Alone,0,0,1,0
21778,Work,Alone,0,0,1,0
21016,No Urgent Place,Friend(s),1,0,0,1
15091,Home,Alone,0,0,0,1
17632,No Urgent Place,Partner,1,0,0,1
13189,No Urgent Place,Friend(s),1,0,0,1
16260,No Urgent Place,Friend(s),1,0,0,1
18440,No Urgent Place,Friend(s),1,0,0,1
14217,No Urgent Place,Alone,0,0,0,1
12016,No Urgent Place,Partner,0,0,0,1
15127,No Urgent Place,Alone,0,0,0,1
15873,No Urgent Place,Alone,0,0,0,1
12399,Home,Alone,0,0,1,0
17126,Work,Alone,1,1,0,1
10398,No Urgent Place,Friend(s),1,0,0,1
16446,Work,Alone,1,0,0,1
12514,Work,Alone,0,0,0,1
15014,No Urgent Place,Partner,0,0,0,1
14584,Work,Alone,1,0,1,0
10612,No Urgent Place,Friend(s),0,0,0,1
16855,Home,Alone,1,0,1,0
19420,Work,Alone,0,0,1,0
13282,No Urgent Place,Partner,1,0,0,1
20206,No Urgent Place,Alone,1,0,0,1
10205,No Urgent Place,Alone,0,0,0,1
20724,No Urgent Place,Friend(s),1,0,0,1
21684,Work,Alone,0,0,1,0
12030,No Urgent Place,Friend(s),0,0,0,1
17259,Work,Alone,1,1,0,1
16681,Work,Alone,1,1,0,1
19109,Work,Alone,1,0,1,0
19542,Home,Alone,1,1,0,1
13860,Work,Alone,1,1,0,1
20075,Work,Alone,1,0,1,0
11142,Work,Alone,0,0,0,1
15153,No Urgent Place,Friend(s),0,0,0,1
21785,No Urgent Place,Friend(s),0,0,0,1
22672,Home,Alone,1,0,1,0
15540,Work,Alone,1,1,0,1
15657,No Urgent Place,Friend(s),0,0,0,1
16025,Work,Alone,1,0,0,1
11920,No Urgent Place,Friend(s),0,0,0,1
15793,No Urgent Place,Partner,0,0,0,1
16579,Work,Alone,1,1,0,1
13546,No Urgent Place,Friend(s),0,0,0,1
12741,No Urgent Place,Friend(s),1,0,0,1
16777,Work,Alone,1,1,0,1
17002,No Urgent Place,Friend(s),1,0,0,1
15319,Home,Alone,0,0,1,0
10645,No Urgent Place,Alone,0,0,0,1
20897,Home,Partner,1,1,0,1
18953,Work,Alone,0,0,1,0
13000,Work,Alone,1,0,0,1
12725,Home,Alone,0,0,1,0
18301,No Urgent Place,Friend(s),0,0,0,1
15654,No Urgent Place,Friend(s),1,0,0,1
20301,No Urgent Place,Kid(s),0,0,0,1
21253,Work,Alone,0,0,1,0
16070,No Urgent Place,Alone,0,0,0,1
17051,No Urgent Place,Partner,0,0,0,1
11373,No Urgent Place,Friend(s),1,0,0,1
10025,No Urgent Place,Friend(s),1,0,0,1
19614,Work,Alone,1,0,1,0
11079,No Urgent Place,Friend(s),0,0,0,1
12837,Home,Alone,0,0,0,1
15212,Work,Alone,1,1,0,1
14299,Home,Alone,0,0,1,0
10125,Home,Alone,0,0,0,1
13652,No Urgent Place,Friend(s),1,0,0,1
22268,No Urgent Place,Alone,0,0,0,1
17637,Home,Alone,0,0,1,0
18557,Work,Alone,1,1,0,1
21344,No Urgent Place,Friend(s),0,0,0,1
10344,No Urgent Place,Friend(s),0,0,0,1
17241,No Urgent Place,Kid(s),1,0,0,1
17773,No Urgent Place,Alone,1,0,0,1
12620,Work,Alone,1,1,0,1
13382,No Urgent Place,Alone,0,0,0,1
22370,No Urgent Place,Friend(s),0,0,0,1
16182,Home,Alone,0,0,0,1
17396,No Urgent Place,Alone,1,0,0,1
20111,Home,Alone,0,0,1,0
20768,Home,Alone,1,0,0,1
14800,Home,Alone,1,0,1,0
13411,No Urgent Place,Partner,0,0,0,1
22338,Home,Partner,1,1,0,1
20037,No Urgent Place,Partner,0,0,0,1
21695,No Urgent Place,Friend(s),0,0,0,1
14511,No Urgent Place,Partner,1,0,0,1
22322,Home,Partner,0,0,1,0
15241,No Urgent Place,Friend(s),0,0,0,1
21517,Work,Alone,1,1,0,1
17022,No Urgent Place,Friend(s),1,0,0,1
18687,Home,Alone,0,0,1,0
13628,No Urgent Place,Friend(s),0,0,0,1
21897,No Urgent Place,Alone,1,0,0,1
10487,Home,Alone,1,0,0,1
13556,Work,Alone,0,0,0,1
16209,Work,Alone,0,0,1,0
21962,No Urgent Place,Alone,0,0,0,1
17697,No Urgent Place,Partner,1,0,0,1
13287,Home,Alone,0,0,0,1
14399,Home,Alone,1,1,0,1
13675,No Urgent Place,Partner,0,0,0,1
18276,Work,Alone,0,0,1,0
18195,No Urgent Place,Friend(s),0,0,0,1
11503,No Urgent Place,Friend(s),1,0,0,1
13111,Work,Alone,0,0,1,0
16830,Home,Alone,0,0,1,0
16973,Work,Alone,1,1,0,1
16513,Work,Alone,1,0,1,0
14660,No Urgent Place,Partner,0,0,0,1
12966,No Urgent Place,Friend(s),1,0,0,1
11001,No Urgent Place,Kid(s),1,0,0,1
21986,Home,Kid(s),1,0,1,0
19521,Home,Alone,1,1,0,1
16275,Work,Alone,0,0,1,0
11363,Work,Alone,1,1,0,1
12564,No Urgent Place,Friend(s),1,0,0,1
13517,No Urgent Place,Friend(s),1,0,0,1
12392,No Urgent Place,Friend(s),1,0,0,1
15312,No Urgent Place,Partner,0,0,0,1
19950,No Urgent Place,Alone,1,0,0,1
17111,No Urgent Place,Friend(s),0,0,0,1
12785,No Urgent Place,Friend(s),1,0,0,1
22018,Work,Alone,1,1,0,1
12326,No Urgent Place,Alone,0,0,0,1
15640,Home,Alone,1,1,0,1
20583,Home,Alone,1,1,0,1
12449,Work,Alone,0,0,1,0
16154,Home,Alone,1,0,0,1
21965,Home,Kid(s),1,0,0,1
10088,No Urgent Place,Alone,0,0,0,1
14159,No Urgent Place,Partner,0,0,0,1
13699,No Urgent Place,Partner,0,0,0,1
17284,No Urgent Place,Alone,0,0,0,1
17417,No Urgent Place,Alone,0,0,0,1
14523,No Urgent Place,Alone,0,0,0,1
15376,Home,Alone,0,0,1,0
21704,Home,Alone,0,0,0,1
12762,No Urgent Place,Friend(s),1,0,0,1
19539,No Urgent Place,Alone,0,0,0,1
21009,Work,Alone,0,0,0,1
16637,Work,Alone,1,1,0,1
14252,Home,Alone,0,0,1,0
17355,No Urgent Place,Friend(s),1,0,0,1
20210,No Urgent Place,Alone,0,0,0,1
14563,Work,Alone,1,0,1,0
12375,Work,Alone,1,1,0,1
10059,Home,Alone,0,0,0,1
12258,No Urgent Place,Friend(s),1,0,0,1
13964,No Urgent Place,Friend(s),0,0,0,1
13181,Work,Alone,1,1,0,1
21493,Work,Alone,0,0,0,1
19662,Work,Alone,1,1,0,1
22099,Home,Alone,1,0,0,1
18995,Work,Alone,1,0,1,0
18240,No Urgent Place,Friend(s),0,0,0,1
19571,Work,Alone,1,0,1,0
19731,No Urgent Place,Friend(s),1,0,0,1
12852,No Urgent Place,Friend(s),0,0,0,1
18936,No Urgent Place,Friend(s),1,0,0,1
21855,Home,Alone,1,0,1,0
11032,Work,Alone,0,0,0,1
14964,No Urgent Place,Friend(s),1,0,0,1
18300,No Urgent Place,Friend(s),1,0,0,1
22313,No Urgent Place,Partner,1,0,0,1
19385,No Urgent Place,Friend(s),1,0,0,1
19651,No Urgent Place,Alone,0,0,0,1
12804,No Urgent Place,Friend(s),0,0,0,1
17455,Work,Alone,1,1,0,1
19031,No Urgent Place,Alone,0,0,0,1
14742,No Urgent Place,Alone,0,0,0,1
22439,No Urgent Place,Friend(s),1,0,0,1
10994,No Urgent Place,Friend(s),1,0,0,1
13418,Home,Alone,1,0,0,1
18402,Home,Alone,0,0,1,0
20958,Home,Kid(s),1,0,1,0
11852,Work,Alone,1,0,0,1
16044,Work,Alone,1,0,1,0
12423,Home,Alone,0,0,0,1
18568,No Urgent Place,Friend(s),0,0,0,1
15699,No Urgent Place,Friend(s),1,0,0,1
13713,No Urgent Place,Friend(s),0,0,0,1
10704,No Urgent Place,Friend(s),1,0,0,1
21496,Work,Alone,0,0,1,0
22083,Work,Alone,0,0,1,0
18352,No Urgent Place,Partner,0,0,0,1
11678,No Urgent Place,Friend(s),0,0,0,1
21350,No Urgent Place,Alone,0,0,0,1
11547,No Urgent Place,Friend(s),0,0,0,1
13014,No Urgent Place,Kid(s),0,0,0,1
13840,Work,Alone,1,0,0,1
13808,No Urgent Place,Partner,0,0,0,1
16736,No Urgent Place,Friend(s),0,0,0,1
18508,Home,Alone,1,0,1,0
12990,No Urgent Place,Friend(s),0,0,0,1
20426,No Urgent Place,Friend(s),1,0,0,1
12625,No Urgent Place,Alone,0,0,0,1
17196,No Urgent Place,Kid(s),1,0,0,1
16731,Work,Alone,0,0,0,1
10181,No Urgent Place,Friend(s),1,0,0,1
11309,No Urgent Place,Friend(s),1,0,0,1
13617,Home,Alone,0,0,0,1
19676,Home,Alone,0,0,1,0
22051,No Urgent Place,Kid(s),1,0,0,1
14753,Home,Alone,1,1,0,1
21706,Home,Alone,1,0,0,1
13031,No Urgent Place,Friend(s),1,0,0,1
21727,Home,Alone,0,0,1,0
14306,No Urgent Place,Friend(s),1,0,0,1
10005,No Urgent Place,Friend(s),1,0,0,1
16609,No Urgent Place,Alone,0,0,0,1
10591,No Urgent Place,Friend(s),0,0,0,1
17063,No Urgent Place,Alone,1,0,0,1
11069,Home,Alone,0,0,1,0
20031,Work,Alone,1,0,1,0
20476,Home,Alone,0,0,1,0
16858,Home,Alone,1,0,1,0
21629,Home,Alone,1,0,0,1
17276,Home,Alone,0,0,0,1
19982,Work,Alone,1,0,1,0
15183,Home,Alone,0,0,1,0
19480,Home,Alone,1,1,0,1
18553,Home,Alone,1,0,0,1
15206,Home,Alone,0,0,1,0
11008,Work,Alone,1,0,0,1
21287,Home,Alone,1,0,1,0
11153,No Urgent Place,Partner,0,0,0,1
10602,Home,Alone,0,0,1,0
15722,No Urgent Place,Friend(s),1,0,0,1
21928,Work,Alone,0,0,1,0
11991,No Urgent Place,Friend(s),1,0,0,1
11217,No Urgent Place,Friend(s),0,0,0,1
20780,No Urgent Place,Friend(s),0,0,0,1
20645,No Urgent Place,Alone,0,0,0,1
11780,Home,Alone,0,0,0,1
11653,Work,Alone,0,0,0,1
14208,Home,Alone,0,0,1,0
18505,No Urgent Place,Friend(s),1,0,0,1
21649,Home,Alone,0,0,0,1
10065,Work,Alone,1,0,0,1
19117,No Urgent Place,Alone,0,0,0,1
15271,Home,Alone,0,0,0,1
17991,Work,Alone,0,0,1,0
18560,Work,Alone,0,0,1,0
19694,Home,Alone,0,0,1,0
17912,No Urgent Place,Partner,1,0,0,1
22088,No Urgent Place,Friend(s),1,0,0,1
18212,No Urgent Place,Friend(s),0,0,0,1
15090,Home,Alone,0,0,1,0
16172,No Urgent Place,Friend(s),1,0,0,1
13369,No Urgent Place,Friend(s),1,0,0,1
10568,No Urgent Place,Friend(s),0,0,0,1
20061,No Urgent Place,Alone,1,0,0,1
12527,No Urgent Place,Kid(s),1,0,0,1
21209,Work,Alone,1,0,0,1
15408,Work,Alone,0,0,1,0
18162,Home,Partner,0,0,1,0
18954,Work,Alone,1,1,0,1
10565,Work,Alone,0,0,0,1
17807,Home,Alone,1,0,1,0
16774,Work,Alone,1,0,1,0
14382,Home,Alone,1,1,0,1
10303,No Urgent Place,Friend(s),1,0,0,1
11672,Work,Alone,1,1,0,1
18327,No Urgent Place,Friend(s),0,0,0,1
15795,No Urgent Place,Partner,1,0,0,1
15218,No Urgent Place,Friend(s),1,0,0,1
16326,No Urgent Place,Friend(s),1,0,0,1
20238,Home,Alone,1,1,0,1
17691,No Urgent Place,Friend(s),1,0,0,1
12222,Work,Alone,1,1,0,1
10585,Work,Alone,1,0,0,1
19343,No Urgent Place,Alone,1,0,0,1
18588,No Urgent Place,Friend(s),1,0,0,1
18316,Work,Alone,1,1,0,1
16722,Home,Kid(s),1,1,0,1
14341,Home,Alone,0,0,1,0
22225,No Urgent Place,Partner,1,0,0,1
13176,No Urgent Place,Partner,1,0,0,1
19288,Work,Alone,1,0,1,0
15318,Home,Alone,0,0,1,0
17043,No Urgent Place,Friend(s),1,0,0,1
21980,No Urgent Place,Friend(s),1,0,0,1
14450,Home,Alone,0,0,1,0
18186,Work,Alone,1,1,0,1
13376,Work,Alone,1,1,0,1
11038,No Urgent Place,Friend(s),1,0,0,1
14460,No Urgent Place,Friend(s),0,0,0,1
17629,No Urgent Place,Partner,1,0,0,1
20991,Work,Alone,0,0,1,0
10037,Home,Alone,0,0,0,1
11339,Home,Alone,1,0,0,1
21682,Home,Partner,1,0,1,0
18934,No Urgent Place,Alone,1,0,0,1
12819,Work,Alone,0,0,1,0
15783,Work,Alone,0,0,1,0
12892,Work,Alone,0,0,0,1
19256,No Urgent Place,Alone,0,0,0,1
14914,Work,Alone,1,0,1,0
12951,Home,Alone,0,0,1,0
12743,No Urgent Place,Friend(s),1,0,0,1
13200,Home,Alone,0,0,0,1
13034,No Urgent Place,Friend(s),0,0,0,1
11800,Home,Alone,0,0,1,0
16029,No Urgent Place,Friend(s),1,0,0,1
16359,Home,Alone,0,0,1,0
11120,Work,Alone,0,0,0,1
16469,Work,Alone,1,1,0,1
18908,Work,Alone,1,0,1,0
18408,No Urgent Place,Alone,1,0,0,1
12179,Work,Alone,1,0,0,1
13859,Home,Alone,0,0,0,1
10320,Work,Alone,0,0,1,0
15689,Home,Alone,1,0,1,0
19341,No Urgent Place,Friend(s),1,0,0,1
10873,Home,Alone,0,0,0,1
15387,Work,Alone,1,1,0,1
13535,Work,Alone,1,0,0,1
22281,Work,Alone,1,1,0,1
11506,No Urgent Place,Friend(s),1,0,0,1
17878,Work,Alone,1,1,0,1
18732,Home,Alone,0,0,1,0
17583,No Urgent Place,Alone,0,0,0,1
21392,No Urgent Place,Friend(s),0,0,0,1
16857,Home,Alone,1,0,0,1
17166,Home,Alone,0,0,0,1
18718,No Urgent Place,Friend(s),0,0,0,1
21069,Home,Kid(s),1,0,0,1
22311,No Urgent Place,Alone,0,0,0,1
22009,Home,Alone,0,0,0,1
16707,Work,Alone,1,1,0,1
20662,Work,Alone,1,0,1,0
18747,No Urgent Place,Friend(s),1,0,0,1
17230,Home,Alone,1,0,1,0
17296,Home,Alone,1,0,1,0
20356,Work,Alone,0,0,1,0
20700,Work,Alone,1,0,1,0
17469,No Urgent Place,Friend(s),1,0,0,1
22215,Work,Alone,1,1,0,1
21856,Home,Alone,0,0,0,1
19874,Work,Alone,0,0,1,0
18635,No Urgent Place,Partner,1,0,0,1
13439,Home,Alone,0,0,1,0
21972,Work,Alone,0,0,0,1
16405,Work,Alone,0,0,1,0
16871,No Urgent Place,Friend(s),0,0,0,1
12867,No Urgent Place,Kid(s),1,0,0,1
10534,No Urgent Place,Kid(s),1,0,0,1
16956,No Urgent Place,Friend(s),0,0,0,1
10311,No Urgent Place,Kid(s),0,0,0,1
15924,Home,Alone,0,0,1,0
14220,No Urgent Place,Friend(s),1,0,0,1
12530,Home,Alone,1,0,0,1
17081,Work,Alone,1,1,0,1
19549,Work,Alone,1,0,0,1
18852,No Urgent Place,Kid(s),0,0,0,1
11884,No Urgent Place,Friend(s),1,0,0,1
18369,No Urgent Place,Friend(s),1,0,0,1
20276,No Urgent Place,Friend(s),1,0,0,1
10740,Work,Alone,0,0,1,0
18928,Work,Alone,1,0,1,0
16486,Home,Alone,0,0,1,0
11572,No Urgent Place,Friend(s),1,0,0,1
14440,No Urgent Place,Partner,0,0,0,1
19355,Work,Alone,0,0,0,1
11207,Home,Alone,1,0,0,1
14400,Home,Alone,0,0,1,0
14309,No Urgent Place,Friend(s),0,0,0,1
20804,No Urgent Place,Alone,0,0,0,1
19495,No Urgent Place,Alone,1,0,0,1
14734,Home,Alone,1,0,1,0
13601,Work,Alone,1,0,0,1
20580,Home,Kid(s),1,0,0,1
17812,Work,Alone,1,1,0,1
21988,Home,Partner,1,1,0,1
10359,Work,Alone,1,1,0,1
15532,Home,Alone,0,0,1,0
22642,No Urgent Place,Friend(s),0,0,0,1
10341,Work,Alone,0,0,0,1
10182,No Urgent Place,Friend(s),1,0,0,1
17810,Home,Partner,0,0,1,0
17173,No Urgent Place,Alone,1,0,0,1
13385,No Urgent Place,Friend(s),1,0,0,1
19820,Home,Alone,0,0,0,1
14592,No Urgent Place,Friend(s),1,0,0,1
17024,No Urgent Place,Friend(s),1,0,0,1
14373,No Urgent Place,Partner,0,0,0,1
20998,No Urgent Place,Alone,0,0,0,1
11971,No Urgent Place,Kid(s),1,0,0,1
18005,Home,Alone,1,0,1,0
17933,No Urgent Place,Friend(s),0,0,0,1
12184,No Urgent Place,Friend(s),0,0,0,1
17054,Home,Alone,1,0,1,0
12071,Work,Alone,0,0,0,1
17861,No Urgent Place,Friend(s),0,0,0,1
15033,No Urgent Place,Partner,0,0,0,1
21847,No Urgent Place,Friend(s),1,0,0,1
11804,Work,Alone,1,1,0,1
13228,No Urgent Place,Alone,0,0,0,1
21309,No Urgent Place,Partner,0,0,0,1
21262,No Urgent Place,Alone,0,0,0,1
17712,No Urgent Place,Friend(s),1,0,0,1
18924,Home,Alone,0,0,1,0
16653,No Urgent Place,Partner,1,0,0,1
10809,No Urgent Place,Alone,0,0,0,1
15145,Work,Alone,1,1,0,1
16583,No Urgent Place,Kid(s),1,0,0,1
12415,No Urgent Place,Friend(s),1,0,0,1
17992,No Urgent Place,Alone,1,0,0,1
18038,No Urgent Place,Alone,0,0,0,1
13486,Work,Alone,1,1,0,1
21320,Work,Alone,1,1,0,1
11937,Work,Alone,1,0,0,1
12708,Work,Alone,1,0,0,1
11176,No Urgent Place,Friend(s),1,0,0,1
15455,Work,Alone,0,0,1,0
11900,No Urgent Place,Friend(s),1,0,0,1
13271,Work,Alone,1,0,0,1
21568,Work,Alone,0,0,1,0
18915,No Urgent Place,Friend(s),1,0,0,1
16713,No Urgent Place,Kid(s),1,0,0,1
13458,No Urgent Place,Friend(s),0,0,0,1
21106,No Urgent Place,Friend(s),0,0,0,1
12217,No Urgent Place,Partner,1,0,0,1
19414,Home,Alone,0,0,1,0
22676,Home,Alone,0,0,1,0
19279,Home,Alone,0,0,1,0
15577,Home,Alone,0,0,0,1
21293,Home,Alone,0,0,0,1
10824,Work,Alone,1,1,0,1
22366,Work,Alone,0,0,1,0
15537,Work,Alone,0,0,1,0
11965,No Urgent Place,Friend(s),1,0,0,1
14591,No Urgent Place,Friend(s),1,0,0,1
17525,No Urgent Place,Alone,1,0,0,1
22620,No Urgent Place,Partner,1,0,0,1
15352,No Urgent Place,Partner,0,0,0,1
21416,No Urgent Place,Alone,0,0,0,1
10174,Work,Alone,0,0,0,1
19195,Home,Alone,1,1,0,1
20073,Work,Alone,0,0,0,1
12676,No Urgent Place,Partner,0,0,0,1
18690,Work,Alone,1,1,0,1
15981,Work,Alone,1,0,0,1
19767,Home,Alone,1,0,0,1
10254,Work,Alone,1,1,0,1
11452,Work,Alone,1,1,0,1
18157,No Urgent Place,Partner,1,0,0,1
21557,Home,Kid(s),1,0,1,0
19621,No Urgent Place,Friend(s),1,0,0,1
16202,No Urgent Place,Partner,1,0,0,1
11541,Work,Alone,1,0,0,1
17907,No Urgent Place,Friend(s),0,0,0,1
16033,No Urgent Place,Partner,1,0,0,1
15902,No Urgent Place,Kid(s),1,0,0,1
14544,Work,Alone,1,0,0,1
21449,Home,Partner,0,0,1,0
16848,No Urgent Place,Friend(s),0,0,0,1
14141,Home,Alone,0,0,0,1
21208,Work,Alone,0,0,1,0
13688,Work,Alone,0,0,0,1
14855,No Urgent Place,Friend(s),1,0,0,1
20995,No Urgent Place,Friend(s),0,0,0,1
19653,Home,Alone,0,0,0,1
12236,No Urgent Place,Partner,0,0,0,1
17360,No Urgent Place,Partner,1,0,0,1
17117,No Urgent Place,Partner,0,0,0,1
20960,Home,Partner,1,1,0,1
16116,No Urgent Place,Friend(s),1,0,0,1
14920,No Urgent Place,Friend(s),1,0,0,1
12836,Home,Alone,1,0,0,1
18185,Work,Alone,1,1,0,1
17769,Work,Alone,1,1,0,1
10826,Work,Alone,1,0,0,1
16372,No Urgent Place,Friend(s),0,0,0,1
13005,No Urgent Place,Friend(s),0,0,0,1
11808,Work,Alone,1,0,0,1
21732,Work,Alone,1,0,0,1
19920,Work,Alone,1,1,0,1
10776,No Urgent Place,Friend(s),1,0,0,1
12715,No Urgent Place,Friend(s),1,0,0,1
12081,No Urgent Place,Kid(s),1,0,0,1
18763,No Urgent Place,Friend(s),0,0,0,1
10856,No Urgent Place,Partner,0,0,0,1
14631,Work,Alone,0,0,1,0
20946,Work,Alone,1,1,0,1
14098,Home,Alone,0,0,0,1
12635,No Urgent Place,Kid(s),0,0,0,1
14360,Home,Alone,1,1,0,1
19764,Home,Alone,0,0,1,0
21358,Home,Alone,0,0,1,0
17215,Work,Alone,1,1,0,1
21371,No Urgent Place,Friend(s),0,0,0,1
15887,Home,Alone,1,1,0,1
18626,Work,Alone,0,0,1,0
22249,Home,Alone,1,0,1,0
13384,No Urgent Place,Friend(s),1,0,0,1
16771,Home,Alone,0,0,0,1
21422,Home,Alone,0,0,1,0
16219,No Urgent Place,Kid(s),1,0,0,1
11524,No Urgent Place,Friend(s),0,0,0,1
19903,No Urgent Place,Alone,1,0,0,1
11633,No Urgent Place,Alone,0,0,0,1
21403,Home,Partner,1,1,0,1
15744,No Urgent Place,Friend(s),1,0,0,1
20625,No Urgent Place,Alone,1,0,0,1
11219,No Urgent Place,Friend(s),0,0,0,1
20147,No Urgent Place,Partner,0,0,0,1
21307,No Urgent Place,Partner,0,0,0,1
17271,No Urgent Place,Partner,0,0,0,1
17864,No Urgent Place,Friend(s),0,0,0,1
20827,No Urgent Place,Friend(s),1,0,0,1
17340,Home,Alone,1,0,1,0
19770,Work,Alone,0,0,1,0
13135,Work,Alone,0,0,0,1
14047,No Urgent Place,Partner,0,0,0,1
22316,Home,Alone,0,0,0,1
11998,Home,Alone,0,0,1,0
13656,No Urgent Place,Kid(s),0,0,0,1
14262,No Urgent Place,Friend(s),1,0,0,1
15125,Work,Alone,0,0,1,0
11320,Work,Alone,1,1,0,1
17792,Work,Alone,1,1,0,1
10512,Work,Alone,1,1,0,1
17273,No Urgent Place,Partner,1,0,0,1
10459,No Urgent Place,Friend(s),1,0,0,1
15747,No Urgent Place,Kid(s),1,0,0,1
18938,No Urgent Place,Alone,0,0,0,1
12424,Work,Alone,1,1,0,1
16963,No Urgent Place,Partner,0,0,0,1
13717,No Urgent Place,Friend(s),1,0,0,1
12528,No Urgent Place,Kid(s),1,0,0,1
18380,Home,Alone,0,0,1,0
14424,Home,Alone,0,0,0,1
20546,Work,Alone,1,0,1,0
15497,Work,Alone,1,1,0,1
18661,Home,Alone,1,0,1,0
11354,No Urgent Place,Partner,0,0,0,1
12363,No Urgent Place,Friend(s),1,0,0,1
15163,Home,Alone,1,1,0,1
18112,No Urgent Place,Friend(s),1,0,0,1
22021,No Urgent Place,Friend(s),1,0,0,1
15662,Home,Alone,1,1,0,1
18354,No Urgent Place,Partner,1,0,0,1
19409,No Urgent Place,Alone,1,0,0,1
19154,Work,Alone,1,0,1,0
12950,No Urgent Place,Kid(s),1,0,0,1
15604,Work,Alone,1,0,0,1
11654,Work,Alone,1,0,0,1
17452,Home,Alone,0,0,0,1
19665,No Urgent Place,Friend(s),1,0,0,1
11009,Work,Alone,0,0,1,0
19930,No Urgent Place,Alone,0,0,0,1
15674,Work,Alone,1,0,0,1
14598,No Urgent Place,Partner,0,0,0,1
18599,Home,Partner,0,0,1,0
14140,Home,Alone,0,0,1,0
21776,Work,Alone,1,0,0,1
13855,No Urgent Place,Friend(s),1,0,0,1
22483,No Urgent Place,Friend(s),0,0,0,1
13869,No Urgent Place,Friend(s),1,0,0,1
12333,Work,Alone,0,0,1,0
20890,No Urgent Place,Partner,1,0,0,1
16394,Home,Alone,1,1,0,1
18684,Home,Alone,0,0,1,0
21976,No Urgent Place,Kid(s),0,0,0,1
15664,Home,Alone,1,1,0,1
15257,Work,Alone,0,0,1,0
