ID,gender,age,maritalStatus,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50
20013,Male,26,Single,Bachelors degree,Community & Social Services,$25000 - $37499,4~8,4~8,1~3,4~8,1~3
17827,Male,21,Single,Bachelors degree,Unemployed,$100000 or More,less1,4~8,1~3,less1,less1
10811,Male,46,Married partner,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3
21476,Female,41,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,1~3,1~3,4~8,4~8,1~3
17745,Male,21,Unmarried partner,Some college - no degree,Sales & Related,$50000 - $62499,less1,never,1~3,4~8,1~3
17649,Male,50plus,Married partner,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never
17439,Female,50plus,Married partner,Bachelors degree,Sales & Related,$50000 - $62499,4~8,4~8,1~3,1~3,less1
14567,Female,26,Unmarried partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,never,1~3,1~3,1~3,less1
13448,Female,below21,Single,Some college - no degree,Student,$100000 or More,never,1~3,4~8,4~8,1~3
15377,Male,26,Single,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,1~3,1~3,less1
22148,Female,21,Unmarried partner,Bachelors degree,Unemployed,$25000 - $37499,never,never,1~3,1~3,less1
15753,Male,26,Married partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,1~3
13573,Male,21,Single,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,gt8,1~3,,4~8,less1
17922,Male,26,Married partner,Bachelors degree,Education&Training&Library,$50000 - $62499,never,less1,1~3,1~3,1~3
15039,Male,21,Single,Bachelors degree,Computer & Mathematical,$12500 - $24999,less1,1~3,gt8,gt8,1~3
17549,Female,36,Single,Some college - no degree,Healthcare Practitioners & Technical,$12500 - $24999,never,less1,gt8,4~8,less1
19441,Male,36,Single,Some college - no degree,Business & Financial,$37500 - $49999,never,less1,gt8,gt8,never
17175,Male,46,Single,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,never,gt8,1~3,4~8,less1
19524,Male,31,Unmarried partner,Bachelors degree,Sales & Related,$12500 - $24999,never,less1,1~3,1~3,never
11468,Male,46,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3
14971,Male,21,Single,Bachelors degree,Sales & Related,$100000 or More,less1,4~8,1~3,4~8,1~3
19709,Female,46,Single,Some college - no degree,Office & Administrative Support,$37500 - $49999,never,1~3,gt8,4~8,1~3
20072,Female,50plus,Single,Some college - no degree,Unemployed,Less than $12500,never,1~3,less1,1~3,less1
22487,Female,26,Unmarried partner,Some college - no degree,Office & Administrative Support,$50000 - $62499,1~3,never,4~8,4~8,less1
14871,Male,below21,Single,Some college - no degree,Student,$62500 - $74999,never,1~3,4~8,1~3,less1
17943,Female,26,Single,Some college - no degree,Healthcare Support,$37500 - $49999,never,less1,1~3,gt8,gt8
19151,Male,below21,Single,Some college - no degree,Student,$25000 - $37499,never,never,less1,never,
17703,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,1~3,1~3
22194,Male,26,Single,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8
18052,Male,31,Single,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,4~8,less1,never
11566,Female,21,Single,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,1~3,1~3,1~3
14715,Female,21,Unmarried partner,Bachelors degree,Student,$50000 - $62499,less1,never,1~3,4~8,1~3
15710,Female,26,Married partner,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,4~8,1~3,4~8,4~8,1~3
20904,Female,21,Unmarried partner,Some college - no degree,Student,Less than $12500,1~3,1~3,4~8,1~3,less1
12619,Female,41,Married partner,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1
16779,Female,21,Married partner,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,less1
13453,Female,below21,Single,Some college - no degree,Student,$100000 or More,never,1~3,4~8,4~8,1~3
18419,Male,26,Single,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,4~8,1~3,4~8,1~3,4~8
16428,Male,26,Married partner,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,gt8,4~8,gt8,1~3
21774,Female,26,Single,Bachelors degree,Office & Administrative Support,$12500 - $24999,less1,less1,less1,less1,less1
16969,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
17154,Male,31,Married partner,Some college - no degree,Construction & Extraction,$37500 - $49999,never,never,4~8,4~8,1~3
10727,Male,41,Single,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1
16591,Male,36,Married partner,Associates degree,Management,$87500 - $99999,never,,less1,less1,never
11260,Male,50plus,Widowed,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1
22469,Male,41,Divorced,High School Graduate,Sales & Related,$12500 - $24999,never,less1,less1,1~3,4~8
21926,Female,below21,Single,Some college - no degree,Student,$100000 or More,never,less1,1~3,1~3,1~3
21778,Female,26,Single,Bachelors degree,Office & Administrative Support,$12500 - $24999,less1,less1,less1,less1,less1
21016,Female,26,Single,Bachelors degree,Unemployed,$25000 - $37499,1~3,never,1~3,4~8,1~3
15091,Male,21,Single,High School Graduate,Unemployed,$25000 - $37499,less1,1~3,4~8,1~3,less1
17632,Male,50plus,Unmarried partner,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3
13189,Female,26,Married partner,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1
16260,Male,36,Single,Some college - no degree,Computer & Mathematical,$37500 - $49999,less1,1~3,4~8,1~3,less1
18440,Male,41,Married partner,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never
14217,Male,26,Single,Graduate degree (Masters or Doctorate),Management,$25000 - $37499,4~8,gt8,gt8,4~8,less1
12016,Female,50plus,Married partner,Associates degree,Legal,$100000 or More,less1,never,gt8,4~8,1~3
15127,Male,21,Single,Bachelors degree,Student,$50000 - $62499,less1,never,4~8,less1,never
15873,Male,31,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,never,never,4~8,gt8,4~8
12399,Female,50plus,Married partner,Some college - no degree,Transportation & Material Moving,$75000 - $87499,never,never,4~8,gt8,less1
17126,Male,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,less1,less1,4~8,4~8,less1
10398,Female,21,Single,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8
16446,Female,26,Single,Some college - no degree,Office & Administrative Support,$37500 - $49999,1~3,never,1~3,1~3,1~3
12514,Male,21,Single,Some college - no degree,Student,$100000 or More,less1,less1,1~3,less1,never
15014,Female,31,Married partner,Some college - no degree,Unemployed,$50000 - $62499,never,never,1~3,gt8,1~3
14584,Female,26,Unmarried partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,never,1~3,1~3,1~3,less1
10612,Female,21,Married partner,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3
16855,Female,46,Married partner,Some High School,Unemployed,$12500 - $24999,never,never,less1,less1,never
19420,Female,50plus,Divorced,Some college - no degree,Unemployed,$37500 - $49999,never,never,4~8,1~3,less1
13282,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1
20206,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
10205,Male,21,Single,Some college - no degree,Sales & Related,$100000 or More,less1,never,gt8,1~3,less1
20724,Female,21,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,1~3,never
21684,Female,41,Married partner,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,less1,1~3,4~8,1~3,never
12030,Female,26,Married partner,Some college - no degree,Management,$25000 - $37499,less1,1~3,1~3,4~8,1~3
17259,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,1~3,1~3,gt8,4~8,less1
16681,Male,21,Single,Bachelors degree,Student,$37500 - $49999,less1,1~3,4~8,1~3,less1
19109,Male,26,Married partner,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1
19542,Female,below21,Unmarried partner,Some college - no degree,Student,$100000 or More,less1,1~3,less1,1~3,less1
13860,Female,21,Single,Some college - no degree,Sales & Related,$12500 - $24999,never,4~8,4~8,4~8,never
20075,Female,50plus,Single,Some college - no degree,Unemployed,Less than $12500,never,1~3,less1,1~3,less1
11142,Female,36,Married partner,Bachelors degree,Unemployed,$87500 - $99999,less1,1~3,1~3,less1,less1
15153,Male,36,Married partner,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,1~3,4~8,1~3,1~3
21785,Female,41,Married partner,Associates degree,Unemployed,$62500 - $74999,less1,less1,less1,less1,less1
22672,Male,26,Single,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3
15540,Female,50plus,Single,High School Graduate,Management,$37500 - $49999,less1,less1,less1,less1,1~3
15657,Female,31,Single,Bachelors degree,Production Occupations,$37500 - $49999,less1,less1,4~8,,less1
16025,Female,26,Single,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3
11920,Female,31,Single,Bachelors degree,Transportation & Material Moving,$25000 - $37499,less1,1~3,4~8,gt8,less1
15793,Female,31,Unmarried partner,Bachelors degree,Management,$25000 - $37499,4~8,less1,1~3,4~8,1~3
16579,Female,41,Married partner,Bachelors degree,Office & Administrative Support,$62500 - $74999,4~8,1~3,4~8,gt8,less1
13546,Female,21,Single,Some college - no degree,Student,Less than $12500,gt8,4~8,4~8,4~8,1~3
12741,Male,36,Single,Some college - no degree,Sales & Related,$50000 - $62499,never,never,less1,4~8,less1
16777,Female,31,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,1~3
17002,Female,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,never,1~3,less1,1~3,1~3
15319,Male,21,Unmarried partner,Bachelors degree,Business & Financial,$75000 - $87499,1~3,less1,4~8,1~3,1~3
10645,Female,41,Single,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never
20897,Female,below21,Unmarried partner,High School Graduate,Student,Less than $12500,never,4~8,1~3,4~8,less1
18953,Female,31,Married partner,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1
13000,Male,21,Unmarried partner,Some college - no degree,Protective Service,$25000 - $37499,gt8,4~8,gt8,4~8,less1
12725,Male,21,Single,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3
18301,Male,26,Married partner,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,1~3,1~3,1~3,4~8,4~8
15654,Female,31,Single,Bachelors degree,Production Occupations,$37500 - $49999,less1,less1,4~8,,less1
20301,Female,31,Married partner,Bachelors degree,Unemployed,$100000 or More,never,4~8,4~8,4~8,less1
21253,Female,36,Married partner,Bachelors degree,Unemployed,$87500 - $99999,less1,less1,less1,less1,less1
16070,Female,50plus,Single,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,gt8,1~3,less1,less1
17051,Male,21,Unmarried partner,High School Graduate,Sales & Related,$37500 - $49999,never,less1,4~8,4~8,less1
11373,Male,41,Married partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,1~3,less1,1~3,1~3,less1
10025,Male,21,Single,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1
19614,Female,21,Unmarried partner,Bachelors degree,Community & Social Services,$62500 - $74999,less1,never,1~3,less1,never
11079,Male,41,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,1~3,gt8,4~8,less1
12837,Female,50plus,Married partner,Bachelors degree,Life Physical Social Science,$50000 - $62499,less1,never,4~8,less1,less1
15212,Female,50plus,Unmarried partner,Some college - no degree,Management,$37500 - $49999,never,never,4~8,1~3,less1
14299,Male,21,Unmarried partner,Bachelors degree,Education&Training&Library,$12500 - $24999,1~3,4~8,4~8,4~8,never
10125,Male,26,Unmarried partner,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1
13652,Female,31,Married partner,Bachelors degree,Sales & Related,$12500 - $24999,less1,1~3,1~3,1~3,less1
22268,Male,26,Single,Some High School,Unemployed,Less than $12500,1~3,gt8,4~8,4~8,4~8
17637,Male,50plus,Unmarried partner,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3
18557,Female,36,Unmarried partner,Associates degree,Unemployed,$75000 - $87499,never,never,gt8,gt8,1~3
21344,Male,31,Single,Associates degree,Unemployed,Less than $12500,less1,less1,less1,1~3,less1
10344,Male,31,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8
17241,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,1~3,1~3,gt8,4~8,less1
17773,Male,26,Single,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8
12620,Female,41,Married partner,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1
13382,Male,50plus,Married partner,Some college - no degree,Protective Service,$37500 - $49999,never,less1,gt8,gt8,1~3
22370,Male,26,Single,Bachelors degree,Unemployed,$12500 - $24999,1~3,less1,4~8,1~3,less1
16182,Female,21,Unmarried partner,Some college - no degree,Sales & Related,$25000 - $37499,never,less1,less1,less1,never
17396,Male,46,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3
20111,Female,36,Married partner,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,1~3,4~8,4~8,4~8,1~3
20768,Female,31,Unmarried partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1
14800,Male,21,Single,High School Graduate,Student,$37500 - $49999,less1,never,less1,less1,never
13411,Female,46,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,less1,4~8,1~3,1~3,less1
22338,Male,31,Married partner,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,never,1~3,1~3,1~3
20037,Male,26,Married partner,Graduate degree (Masters or Doctorate),Community & Social Services,$100000 or More,less1,gt8,4~8,gt8,1~3
21695,Female,50plus,Married partner,High School Graduate,Sales & Related,$37500 - $49999,never,gt8,4~8,1~3,less1
14511,Female,36,Unmarried partner,Graduate degree (Masters or Doctorate),Legal,$62500 - $74999,1~3,gt8,4~8,gt8,1~3
22322,Female,36,Married partner,Bachelors degree,Unemployed,$100000 or More,less1,never,1~3,less1,less1
15241,Female,26,Unmarried partner,Graduate degree (Masters or Doctorate),Legal,$37500 - $49999,less1,less1,1~3,less1,never
21517,Female,below21,Single,Bachelors degree,Student,$12500 - $24999,gt8,1~3,less1,4~8,gt8
17022,Female,50plus,Divorced,Bachelors degree,Retired,Less than $12500,never,4~8,gt8,gt8,less1
18687,Male,26,Single,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,less1,1~3,less1
13628,Male,21,Single,Bachelors degree,Student,$62500 - $74999,4~8,4~8,1~3,1~3,less1
21897,Male,26,Single,Some college - no degree,Unemployed,$100000 or More,1~3,never,4~8,1~3,less1
10487,Male,26,Single,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never
13556,Female,21,Single,Some college - no degree,Student,Less than $12500,gt8,4~8,4~8,4~8,1~3
16209,Female,31,Unmarried partner,Some High School,Computer & Mathematical,$12500 - $24999,1~3,1~3,4~8,1~3,less1
21962,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,1~3,1~3,1~3,less1
17697,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,1~3,1~3
13287,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1
14399,Female,21,Single,Bachelors degree,Life Physical Social Science,$37500 - $49999,less1,never,less1,1~3,never
13675,Male,26,Married partner,Bachelors degree,Life Physical Social Science,$37500 - $49999,less1,1~3,1~3,1~3,less1
18276,Female,36,Married partner,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,less1,never,4~8,1~3,less1
18195,Male,31,Single,Associates degree,Installation Maintenance & Repair,$37500 - $49999,1~3,4~8,1~3,1~3,less1
11503,Female,31,Unmarried partner,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3
13111,Male,26,Married partner,Bachelors degree,Computer & Mathematical,$87500 - $99999,never,less1,1~3,1~3,less1
16830,Male,26,Married partner,Bachelors degree,Management,$50000 - $62499,never,less1,less1,1~3,less1
16973,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
16513,Male,36,Unmarried partner,Bachelors degree,Retired,$37500 - $49999,1~3,4~8,4~8,1~3,1~3
14660,Female,below21,Unmarried partner,Some college - no degree,Student,$25000 - $37499,never,1~3,1~3,4~8,1~3
12966,Male,31,Married partner,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1
11001,Female,31,Married partner,Bachelors degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,never,1~3,never,never
21986,Female,21,Married partner,Bachelors degree,Unemployed,$37500 - $49999,never,less1,1~3,1~3,less1
19521,Male,31,Unmarried partner,Bachelors degree,Sales & Related,$12500 - $24999,never,less1,1~3,1~3,never
16275,Male,36,Single,Some college - no degree,Computer & Mathematical,$37500 - $49999,less1,1~3,4~8,1~3,less1
11363,Male,26,Unmarried partner,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3
12564,Female,50plus,Married partner,Some college - no degree,Education&Training&Library,$25000 - $37499,never,less1,gt8,4~8,less1
13517,Female,21,Unmarried partner,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,less1,4~8,1~3,,less1
12392,Female,50plus,Married partner,Some college - no degree,Transportation & Material Moving,$75000 - $87499,never,never,4~8,gt8,less1
15312,Male,21,Unmarried partner,Bachelors degree,Business & Financial,$75000 - $87499,1~3,less1,4~8,1~3,1~3
19950,Male,31,Single,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,1~3,1~3,1~3
17111,Male,31,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$62500 - $74999,less1,less1,4~8,4~8,less1
12785,Female,26,Single,Associates degree,Unemployed,Less than $12500,1~3,less1,4~8,less1,4~8
22018,Male,21,Single,Some college - no degree,Student,Less than $12500,4~8,1~3,4~8,1~3,less1
12326,Female,31,Single,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3
15640,Female,36,Single,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,4~8,4~8,1~3,less1
20583,Female,31,Married partner,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3
12449,Female,21,Unmarried partner,Bachelors degree,Management,$12500 - $24999,1~3,gt8,gt8,1~3,less1
16154,Male,46,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,never,never,less1,4~8,1~3
21965,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,1~3,1~3,1~3,less1
10088,Male,21,Single,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3
14159,Female,50plus,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,4~8,never
13699,Female,26,Unmarried partner,High School Graduate,Business & Financial,$12500 - $24999,never,1~3,less1,1~3,never
17284,Male,26,Single,Bachelors degree,Sales & Related,$75000 - $87499,never,never,less1,less1,less1
17417,Female,26,Single,Bachelors degree,Computer & Mathematical,$25000 - $37499,less1,less1,4~8,1~3,never
14523,Female,46,Married partner,Some college - no degree,Personal Care & Service,$37500 - $49999,never,less1,less1,1~3,less1
15376,Male,26,Single,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,1~3,1~3,less1
21704,Female,50plus,Married partner,High School Graduate,Sales & Related,$37500 - $49999,never,gt8,4~8,1~3,less1
12762,Female,50plus,Married partner,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,less1,less1,less1
19539,Female,below21,Unmarried partner,Some college - no degree,Student,$100000 or More,less1,1~3,less1,1~3,less1
21009,Female,36,Single,High School Graduate,Food Preparation & Serving Related,$12500 - $24999,less1,less1,1~3,less1,less1
16637,Male,26,Single,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,1~3,1~3,less1
14252,Male,21,Single,Bachelors degree,Student,$100000 or More,1~3,4~8,1~3,4~8,1~3
17355,Male,26,Married partner,Bachelors degree,Education&Training&Library,$37500 - $49999,never,,1~3,1~3,less1
20210,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1
14563,Female,31,Married partner,Some college - no degree,Office & Administrative Support,$37500 - $49999,1~3,1~3,4~8,1~3,less1
12375,Female,21,Single,Some college - no degree,Management,$25000 - $37499,4~8,less1,gt8,1~3,1~3
10059,Male,46,Single,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never
12258,Male,21,Single,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,never,never,1~3,less1,never
13964,Female,21,Single,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,1~3,gt8,1~3,1~3
13181,Male,50plus,Married partner,Some college - no degree,Retired,$87500 - $99999,never,never,1~3,1~3,less1
21493,Female,41,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,1~3,1~3,4~8,4~8,1~3
19662,Male,21,Single,Bachelors degree,Student,$25000 - $37499,1~3,4~8,4~8,1~3,
22099,Female,21,Unmarried partner,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,never,1~3,never,never
18995,Female,46,Married partner,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never
18240,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,never,4~8,1~3,4~8,less1
19571,Male,31,Married partner,Some college - no degree,Farming Fishing & Forestry,$37500 - $49999,less1,less1,less1,1~3,less1
19731,Male,26,Single,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never
