ID,gender,age,maritalStatus,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,ID,weather,time,coupon,expiration,Y,ID,destination,passanger,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
11146,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,11146,Sunny,10AM,Carry out & Take away,2h,0,11146,No Urgent Place,Friend(s),1,0,0,1
22156,Female,31,Single,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,,less1,gt8,1~3,less1,22156,Snowy,2PM,Restaurant(<20),1d,0,22156,No Urgent Place,Friend(s),0,0,0,1
21691,Female,50plus,Married partner,High School Graduate,Sales & Related,$37500 - $49999,never,gt8,4~8,1~3,less1,21691,Snowy,6PM,Bar,1d,0,21691,No Urgent Place,Kid(s),0,0,0,1
19338,Female,50plus,Single,Associates degree,Retired,Less than $12500,never,never,less1,never,never,19338,Sunny,10PM,Coffee House,1d,0,19338,No Urgent Place,Friend(s),1,0,0,1
11957,Male,41,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,less1,4~8,4~8,1~3,less1,11957,Sunny,7AM,Coffee House,2h,0,11957,Work,Alone,1,1,0,1
12332,Female,31,Single,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3,12332,Sunny,7AM,Restaurant(20-50),1d,1,12332,Work,Alone,1,0,0,1
18362,Male,26,Unmarried partner,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3,18362,Snowy,7AM,Restaurant(20-50),1d,1,18362,Work,Alone,1,1,0,1
17177,Male,46,Single,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,never,gt8,1~3,4~8,less1,17177,Sunny,6PM,Coffee House,1d,1,17177,No Urgent Place,Friend(s),0,0,0,1
19953,Male,31,Single,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,1~3,1~3,1~3,19953,Sunny,10PM,Restaurant(<20),1d,1,19953,No Urgent Place,Alone,0,0,0,1
16498,Male,36,Unmarried partner,Bachelors degree,Retired,$37500 - $49999,1~3,4~8,4~8,1~3,1~3,16498,Sunny,6PM,Restaurant(<20),1d,1,16498,No Urgent Place,Friend(s),1,0,0,1
20651,Male,21,Unmarried partner,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,20651,Rainy,6PM,Bar,1d,0,20651,Home,Alone,1,1,0,1
13482,Female,41,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,never,4~8,1~3,less1,13482,Sunny,6PM,Coffee House,2h,0,13482,No Urgent Place,Kid(s),1,0,0,1
10087,Male,46,Married partner,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,10087,Sunny,7AM,Coffee House,2h,0,10087,Work,Alone,1,0,0,1
14814,Female,31,Single,Bachelors degree,Community & Social Services,$50000 - $62499,4~8,1~3,1~3,1~3,less1,14814,Sunny,6PM,Restaurant(20-50),2h,0,14814,Home,Alone,1,0,0,1
12303,Male,50plus,Married partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,gt8,never,4~8,less1,12303,Sunny,10AM,Coffee House,2h,1,12303,No Urgent Place,Partner,1,0,0,1
14597,Male,36,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,never,never,1~3,1~3,less1,14597,Sunny,2PM,Coffee House,2h,0,14597,No Urgent Place,Partner,0,0,0,1
16663,Male,26,Unmarried partner,Some college - no degree,Transportation & Material Moving,$12500 - $24999,1~3,4~8,1~3,4~8,less1,16663,Sunny,7AM,Bar,1d,0,16663,Work,Alone,1,1,0,1
11667,Male,50plus,Unmarried partner,Bachelors degree,Personal Care & Service,$100000 or More,gt8,never,1~3,4~8,1~3,11667,Sunny,6PM,Coffee House,2h,0,11667,No Urgent Place,Kid(s),1,0,0,1
17320,Female,26,Single,Bachelors degree,Office & Administrative Support,$87500 - $99999,gt8,less1,1~3,1~3,1~3,17320,Snowy,10PM,Restaurant(20-50),2h,0,17320,Home,Alone,0,0,0,1
15139,Male,21,Single,Bachelors degree,Student,$50000 - $62499,less1,never,4~8,less1,never,15139,Sunny,10PM,Restaurant(<20),2h,0,15139,Home,Alone,0,0,1,0
13240,Female,31,Single,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,13240,Sunny,10AM,Coffee House,2h,1,13240,No Urgent Place,Alone,0,0,0,1
21013,Female,36,Single,High School Graduate,Food Preparation & Serving Related,$12500 - $24999,less1,less1,1~3,less1,less1,21013,Sunny,7AM,Restaurant(20-50),2h,0,21013,Work,Alone,0,0,1,0
12976,Male,31,Married partner,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1,12976,Sunny,7AM,Coffee House,2h,1,12976,Work,Alone,1,1,0,1
17222,Male,36,Unmarried partner,Associates degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,17222,Sunny,2PM,Restaurant(20-50),2h,0,17222,No Urgent Place,Friend(s),1,0,0,1
14917,Female,31,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,1~3,4~8,4~8,never,14917,Sunny,7AM,Coffee House,1d,1,14917,Work,Alone,1,0,0,1
15051,Male,21,Single,Bachelors degree,Computer & Mathematical,$12500 - $24999,less1,1~3,gt8,gt8,1~3,15051,Sunny,10PM,Restaurant(<20),2h,1,15051,Home,Alone,0,0,1,0
13749,Female,26,Unmarried partner,Some college - no degree,Food Preparation & Serving Related,$25000 - $37499,less1,less1,1~3,less1,1~3,13749,Sunny,6PM,Coffee House,2h,1,13749,Home,Alone,0,0,0,1
19106,Male,26,Married partner,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,19106,Rainy,7AM,Carry out & Take away,2h,1,19106,Work,Alone,1,0,1,0
16037,Female,26,Unmarried partner,Some college - no degree,Management,$37500 - $49999,less1,less1,less1,1~3,less1,16037,Sunny,6PM,Coffee House,1d,1,16037,Home,Alone,0,0,1,0
14515,Female,36,Unmarried partner,Graduate degree (Masters or Doctorate),Legal,$62500 - $74999,1~3,gt8,4~8,gt8,1~3,14515,Sunny,6PM,Coffee House,2h,0,14515,Home,Alone,1,1,0,1
14761,Female,50plus,Single,Bachelors degree,Retired,$37500 - $49999,never,never,less1,4~8,less1,14761,Sunny,7AM,Carry out & Take away,1d,1,14761,Work,Alone,1,1,0,1
14293,Male,21,Unmarried partner,Bachelors degree,Education&Training&Library,$12500 - $24999,1~3,4~8,4~8,4~8,never,14293,Sunny,6PM,Bar,2h,0,14293,No Urgent Place,Partner,1,0,0,1
18605,Female,50plus,Married partner,Associates degree,Office & Administrative Support,$75000 - $87499,1~3,4~8,,4~8,4~8,18605,Rainy,6PM,Carry out & Take away,2h,1,18605,No Urgent Place,Kid(s),1,0,0,1
19026,Male,21,Single,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never,19026,Sunny,10PM,Carry out & Take away,1d,1,19026,No Urgent Place,Friend(s),1,0,0,1
19202,Male,21,Single,Bachelors degree,Legal,$87500 - $99999,1~3,never,less1,less1,less1,19202,Rainy,7AM,Bar,1d,1,19202,Work,Alone,1,1,0,1
16740,Male,21,Single,Some college - no degree,Unemployed,$75000 - $87499,1~3,4~8,less1,less1,never,16740,Sunny,6PM,Coffee House,2h,1,16740,Home,Alone,0,0,1,0
19447,Male,50plus,Unmarried partner,High School Graduate,Retired,$50000 - $62499,less1,less1,4~8,1~3,less1,19447,Sunny,10PM,Coffee House,1d,0,19447,No Urgent Place,Friend(s),1,0,0,1
18805,Male,36,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,never,never,less1,1~3,1~3,18805,Sunny,10AM,Coffee House,1d,1,18805,No Urgent Place,Alone,1,0,0,1
22285,Female,50plus,Widowed,High School Graduate,Retired,$12500 - $24999,never,never,4~8,1~3,,22285,Sunny,10PM,Bar,2h,0,22285,No Urgent Place,Friend(s),1,0,0,1
15754,Male,26,Married partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,1~3,15754,Sunny,6PM,Restaurant(<20),2h,0,15754,Home,Alone,0,0,1,0
22658,Male,31,Married partner,Bachelors degree,Business & Financial,$100000 or More,less1,never,4~8,gt8,less1,22658,Rainy,7AM,Carry out & Take away,1d,1,22658,Work,Alone,0,0,0,1
21442,Male,31,Married partner,Bachelors degree,Sales & Related,$75000 - $87499,1~3,1~3,4~8,4~8,4~8,21442,Sunny,6PM,Carry out & Take away,2h,1,21442,Home,Alone,1,0,1,0
14648,Female,50plus,Divorced,Graduate degree (Masters or Doctorate),Sales & Related,$37500 - $49999,less1,1~3,4~8,1~3,less1,14648,Sunny,7AM,Coffee House,2h,0,14648,Work,Alone,0,0,1,0
21206,Male,26,Single,Bachelors degree,Student,$12500 - $24999,less1,gt8,gt8,gt8,less1,21206,Rainy,7AM,Restaurant(<20),2h,1,21206,Work,Alone,0,0,1,0
20233,Female,below21,Unmarried partner,High School Graduate,Student,Less than $12500,never,4~8,1~3,4~8,less1,20233,Sunny,2PM,Restaurant(20-50),1d,1,20233,No Urgent Place,Partner,0,0,0,1
13008,Female,31,Divorced,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,1~3,never,4~8,less1,less1,13008,Sunny,2PM,Coffee House,1d,0,13008,No Urgent Place,Friend(s),1,0,0,1
17234,Male,36,Unmarried partner,Associates degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,17234,Sunny,10PM,Carry out & Take away,2h,1,17234,Home,Partner,1,0,0,1
18111,Female,41,Married partner,Associates degree,Education&Training&Library,$62500 - $74999,never,less1,less1,less1,less1,18111,Snowy,10AM,Carry out & Take away,1d,0,18111,No Urgent Place,Friend(s),1,0,0,1
11206,Female,31,Married partner,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,11206,Sunny,6PM,Bar,1d,1,11206,Home,Alone,0,0,1,0
12679,Male,41,Divorced,Some college - no degree,Transportation & Material Moving,$50000 - $62499,less1,less1,1~3,1~3,1~3,12679,Sunny,6PM,Restaurant(<20),2h,1,12679,No Urgent Place,Partner,0,0,0,1
16820,Male,26,Unmarried partner,Some college - no degree,Unemployed,$12500 - $24999,never,less1,1~3,4~8,less1,16820,Rainy,7AM,Bar,1d,0,16820,Work,Alone,0,0,0,1
16737,Male,21,Single,Some college - no degree,Unemployed,$75000 - $87499,1~3,4~8,less1,less1,never,16737,Rainy,10AM,Carry out & Take away,2h,0,16737,No Urgent Place,Friend(s),1,0,0,1
10832,Male,50plus,Married partner,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,10832,Sunny,10AM,Carry out & Take away,2h,1,10832,No Urgent Place,Friend(s),1,0,0,1
11659,Male,50plus,Unmarried partner,Bachelors degree,Personal Care & Service,$100000 or More,gt8,never,1~3,4~8,1~3,11659,Sunny,2PM,Coffee House,1d,0,11659,No Urgent Place,Friend(s),1,0,0,1
13070,Male,26,Single,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,13070,Sunny,2PM,Restaurant(<20),1d,1,13070,No Urgent Place,Alone,0,0,0,1
13002,Male,21,Unmarried partner,Some college - no degree,Protective Service,$25000 - $37499,gt8,4~8,gt8,4~8,less1,13002,Sunny,7AM,Restaurant(<20),1d,1,13002,Work,Alone,0,0,0,1
10519,Male,50plus,Divorced,Some college - no degree,Management,$62500 - $74999,,,,,,10519,Sunny,2PM,Restaurant(<20),1d,1,10519,No Urgent Place,Friend(s),1,0,0,1
15906,Female,21,Married partner,Some college - no degree,Unemployed,$87500 - $99999,less1,1~3,1~3,4~8,4~8,15906,Sunny,6PM,Coffee House,1d,1,15906,Home,Alone,0,0,1,0
21893,Male,26,Single,Some college - no degree,Unemployed,$100000 or More,1~3,never,4~8,1~3,less1,21893,Snowy,2PM,Restaurant(<20),1d,0,21893,No Urgent Place,Friend(s),0,0,0,1
16594,Male,36,Married partner,Associates degree,Management,$87500 - $99999,never,,less1,less1,never,16594,Snowy,10PM,Restaurant(20-50),2h,0,16594,Home,Kid(s),1,0,0,1
22074,Female,46,Married partner,Bachelors degree,Business & Financial,$100000 or More,never,4~8,4~8,1~3,,22074,Sunny,10PM,Restaurant(20-50),1d,0,22074,Home,Kid(s),1,0,1,0
12022,Female,50plus,Married partner,Associates degree,Legal,$100000 or More,less1,never,gt8,4~8,1~3,12022,Sunny,6PM,Coffee House,2h,0,12022,Home,Alone,0,0,0,1
17683,Male,36,Single,Some college - no degree,Construction & Extraction,$50000 - $62499,never,never,1~3,less1,less1,17683,Snowy,7AM,Restaurant(20-50),1d,1,17683,Work,Alone,1,1,0,1
14557,Female,31,Married partner,Some college - no degree,Office & Administrative Support,$37500 - $49999,1~3,1~3,4~8,1~3,less1,14557,Sunny,6PM,Coffee House,1d,0,14557,Home,Alone,0,0,0,1
19778,Male,31,Single,Some college - no degree,Office & Administrative Support,$12500 - $24999,4~8,never,gt8,4~8,never,19778,Rainy,10PM,Restaurant(20-50),2h,1,19778,No Urgent Place,Friend(s),1,0,0,1
11384,Male,41,Married partner,Some college - no degree,Computer & Mathematical,$50000 - $62499,1~3,less1,1~3,1~3,less1,11384,Sunny,6PM,Coffee House,2h,1,11384,Home,Alone,0,0,0,1
22010,Male,21,Single,Some college - no degree,Student,Less than $12500,4~8,1~3,4~8,1~3,less1,22010,Rainy,10PM,Coffee House,2h,0,22010,Home,Alone,0,0,1,0
21217,Male,below21,Unmarried partner,Some college - no degree,Student,$25000 - $37499,never,never,1~3,less1,never,21217,Rainy,10AM,Bar,1d,0,21217,No Urgent Place,Alone,1,0,0,1
11437,Female,46,Single,Some college - no degree,Sales & Related,$25000 - $37499,never,never,1~3,less1,less1,11437,Sunny,10AM,Bar,1d,0,11437,No Urgent Place,Friend(s),0,0,0,1
13489,Female,41,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,never,4~8,1~3,less1,13489,Sunny,7AM,Carry out & Take away,2h,1,13489,Work,Alone,0,0,1,0
17176,Male,46,Single,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,never,gt8,1~3,4~8,less1,17176,Sunny,2PM,Restaurant(20-50),2h,0,17176,No Urgent Place,Friend(s),1,0,0,1
16176,Female,21,Unmarried partner,Some college - no degree,Sales & Related,$25000 - $37499,never,less1,less1,less1,never,16176,Sunny,10AM,Restaurant(20-50),2h,1,16176,No Urgent Place,Partner,0,0,0,1
14371,Male,21,Unmarried partner,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,never,14371,Sunny,6PM,Restaurant(<20),1d,1,14371,No Urgent Place,Friend(s),1,0,0,1
22002,Male,21,Single,Some college - no degree,Student,Less than $12500,4~8,1~3,4~8,1~3,less1,22002,Snowy,2PM,Restaurant(<20),1d,0,22002,No Urgent Place,Friend(s),0,0,0,1
12344,Female,31,Married partner,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,1~3,4~8,4~8,less1,12344,Sunny,10AM,Carry out & Take away,2h,1,12344,No Urgent Place,Kid(s),1,0,0,1
17843,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,17843,Rainy,10PM,Bar,2h,0,17843,No Urgent Place,Friend(s),1,0,0,1
14364,Female,below21,Single,High School Graduate,Unemployed,Less than $12500,never,never,4~8,4~8,never,14364,Sunny,7AM,Coffee House,2h,0,14364,Work,Alone,1,0,1,0
11822,Female,50plus,Married partner,Bachelors degree,Retired,$50000 - $62499,never,less1,4~8,1~3,less1,11822,Sunny,6PM,Bar,1d,0,11822,Home,Alone,0,0,1,0
10756,Female,50plus,Married partner,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,10756,Sunny,6PM,Bar,1d,1,10756,Home,Alone,0,0,1,0
15481,Female,41,Single,Some college - no degree,Business & Financial,$12500 - $24999,never,less1,less1,less1,never,15481,Sunny,6PM,Restaurant(<20),1d,0,15481,No Urgent Place,Friend(s),1,0,0,1
20115,Female,36,Married partner,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,1~3,4~8,4~8,4~8,1~3,20115,Sunny,7AM,Bar,1d,1,20115,Work,Alone,1,0,1,0
16253,Male,41,Divorced,Associates degree,Arts Design Entertainment Sports & Media,$12500 - $24999,4~8,4~8,1~3,1~3,less1,16253,Sunny,7AM,Restaurant(20-50),2h,0,16253,Work,Alone,1,0,0,1
22327,Male,31,Married partner,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,never,1~3,1~3,1~3,22327,Sunny,10PM,Restaurant(20-50),2h,0,22327,No Urgent Place,Kid(s),0,0,0,1
11683,Male,46,Single,Bachelors degree,Management,$100000 or More,never,less1,4~8,1~3,never,11683,Sunny,2PM,Coffee House,1d,1,11683,No Urgent Place,Friend(s),1,0,0,1
16258,Male,36,Single,Some college - no degree,Computer & Mathematical,$37500 - $49999,less1,1~3,4~8,1~3,less1,16258,Sunny,10AM,Bar,1d,0,16258,No Urgent Place,Alone,0,0,0,1
16759,Female,31,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,1~3,16759,Rainy,6PM,Restaurant(<20),2h,1,16759,No Urgent Place,Friend(s),0,0,0,1
13038,Male,21,Single,Some college - no degree,Student,$12500 - $24999,less1,never,less1,less1,less1,13038,Sunny,10AM,Coffee House,2h,0,13038,No Urgent Place,Alone,0,0,0,1
11584,Male,31,Single,High School Graduate,Computer & Mathematical,$25000 - $37499,less1,never,1~3,less1,never,11584,Sunny,7AM,Bar,1d,0,11584,Work,Alone,1,1,0,1
16905,Female,21,Unmarried partner,Bachelors degree,Sales & Related,$25000 - $37499,1~3,4~8,4~8,1~3,1~3,16905,Sunny,7AM,Coffee House,1d,1,16905,Work,Alone,1,0,1,0
20725,Female,21,Married partner,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,1~3,never,20725,Sunny,10PM,Carry out & Take away,1d,1,20725,No Urgent Place,Friend(s),1,0,0,1
19698,Male,41,Married partner,Some college - no degree,Production Occupations,$25000 - $37499,less1,never,gt8,1~3,1~3,19698,Sunny,10PM,Restaurant(<20),1d,1,19698,Home,Partner,0,0,1,0
16675,Male,21,Single,Bachelors degree,Student,$37500 - $49999,less1,1~3,4~8,1~3,less1,16675,Sunny,6PM,Coffee House,1d,1,16675,Home,Alone,1,0,1,0
10857,Male,41,Married partner,Bachelors degree,Unemployed,$87500 - $99999,,,,,,10857,Sunny,6PM,Bar,1d,1,10857,No Urgent Place,Partner,1,0,0,1
21093,Male,50plus,Divorced,Some college - no degree,Production Occupations,$37500 - $49999,1~3,4~8,4~8,gt8,4~8,21093,Snowy,10PM,Carry out & Take away,1d,1,21093,Home,Alone,1,1,0,1
20443,Female,21,Single,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,20443,Sunny,7AM,Coffee House,1d,1,20443,Work,Alone,0,0,1,0
16576,Female,41,Married partner,Bachelors degree,Office & Administrative Support,$62500 - $74999,4~8,1~3,4~8,gt8,less1,16576,Sunny,10PM,Carry out & Take away,1d,1,16576,Home,Alone,0,0,1,0
18706,Male,31,Married partner,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,18706,Sunny,6PM,Carry out & Take away,2h,1,18706,Home,Alone,1,0,1,0
15094,Male,21,Single,High School Graduate,Unemployed,$25000 - $37499,less1,1~3,4~8,1~3,less1,15094,Sunny,6PM,Coffee House,2h,0,15094,Home,Alone,1,1,0,1
17200,Female,50plus,Married partner,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,1~3,never,1~3,less1,17200,Sunny,2PM,Restaurant(20-50),2h,1,17200,No Urgent Place,Friend(s),1,0,0,1
12610,Female,41,Married partner,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1,12610,Sunny,2PM,Carry out & Take away,1d,1,12610,No Urgent Place,Friend(s),1,0,0,1
10739,Male,41,Single,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,10739,Sunny,7AM,Restaurant(20-50),1d,1,10739,Work,Alone,1,0,0,1
10939,Female,31,Single,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,10939,Sunny,6PM,Coffee House,2h,0,10939,Home,Alone,0,0,0,1
11802,Male,36,Unmarried partner,Some college - no degree,Unemployed,$87500 - $99999,1~3,less1,4~8,1~3,less1,11802,Sunny,6PM,Coffee House,2h,1,11802,Home,Alone,0,0,0,1
16149,Male,46,Married partner,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,never,never,less1,4~8,1~3,16149,Sunny,10AM,Carry out & Take away,1d,1,16149,No Urgent Place,Kid(s),1,0,0,1
22150,Female,21,Unmarried partner,Bachelors degree,Unemployed,$25000 - $37499,never,never,1~3,1~3,less1,22150,Snowy,7AM,Bar,1d,0,22150,Work,Alone,1,1,0,1
11988,Male,21,Married partner,Bachelors degree,Management,$50000 - $62499,never,never,4~8,4~8,1~3,11988,Sunny,2PM,Coffee House,2h,1,11988,No Urgent Place,Friend(s),1,0,0,1
17616,Female,36,Unmarried partner,Some college - no degree,Computer & Mathematical,$12500 - $24999,never,1~3,less1,1~3,4~8,17616,Sunny,10PM,Carry out & Take away,2h,1,17616,Home,Partner,1,0,0,1
21967,Male,50plus,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,1~3,1~3,1~3,less1,21967,Sunny,6PM,Carry out & Take away,2h,1,21967,Home,Alone,1,0,1,0
12930,Female,31,Divorced,High School Graduate,Business & Financial,$25000 - $37499,1~3,less1,1~3,less1,4~8,12930,Sunny,6PM,Restaurant(20-50),1d,1,12930,Home,Alone,1,0,0,1
16894,Female,21,Unmarried partner,Bachelors degree,Sales & Related,$25000 - $37499,1~3,4~8,4~8,1~3,1~3,16894,Snowy,2PM,Bar,1d,0,16894,No Urgent Place,Partner,1,0,0,1
14308,Female,46,Single,Some college - no degree,Protective Service,$25000 - $37499,1~3,never,4~8,1~3,1~3,14308,Sunny,6PM,Restaurant(<20),1d,1,14308,No Urgent Place,Friend(s),1,0,0,1
16051,Female,26,Single,High School Graduate,Unemployed,Less than $12500,less1,less1,4~8,1~3,never,16051,Sunny,6PM,Restaurant(<20),1d,1,16051,No Urgent Place,Friend(s),1,0,0,1
12317,Female,31,Single,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3,12317,Sunny,10AM,Bar,1d,1,12317,No Urgent Place,Friend(s),0,0,0,1
15426,Female,26,Single,Bachelors degree,Personal Care & Service,$12500 - $24999,never,,1~3,1~3,less1,15426,Sunny,10PM,Carry out & Take away,1d,0,15426,Home,Alone,0,0,1,0
10836,Male,50plus,Married partner,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,10836,Sunny,2PM,Carry out & Take away,1d,1,10836,No Urgent Place,Friend(s),1,0,0,1
14553,Female,31,Married partner,Some college - no degree,Office & Administrative Support,$37500 - $49999,1~3,1~3,4~8,1~3,less1,14553,Sunny,2PM,Restaurant(<20),2h,1,14553,No Urgent Place,Kid(s),0,0,0,1
18210,Male,31,Single,Associates degree,Installation Maintenance & Repair,$37500 - $49999,1~3,4~8,1~3,1~3,less1,18210,Sunny,7AM,Restaurant(<20),1d,0,18210,Work,Alone,0,0,1,0
13123,Male,50plus,Unmarried partner,Some college - no degree,Installation Maintenance & Repair,$12500 - $24999,4~8,less1,1~3,1~3,less1,13123,Sunny,6PM,Restaurant(<20),2h,0,13123,No Urgent Place,Friend(s),1,0,0,1
16656,Male,26,Unmarried partner,Some college - no degree,Transportation & Material Moving,$12500 - $24999,1~3,4~8,1~3,4~8,less1,16656,Sunny,6PM,Coffee House,1d,1,16656,Home,Alone,1,0,1,0
10636,Female,41,Single,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,10636,Sunny,10AM,Carry out & Take away,2h,0,10636,No Urgent Place,Friend(s),1,0,0,1
10488,Male,26,Single,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,10488,Sunny,6PM,Coffee House,2h,0,10488,Home,Alone,0,0,0,1
12705,Female,41,Married partner,Bachelors degree,Education&Training&Library,$100000 or More,less1,1~3,1~3,4~8,less1,12705,Sunny,6PM,Coffee House,2h,1,12705,Home,Alone,0,0,0,1
18374,Female,50plus,Married partner,Bachelors degree,Education&Training&Library,$12500 - $24999,less1,4~8,4~8,gt8,less1,18374,Snowy,10PM,Carry out & Take away,1d,1,18374,No Urgent Place,Friend(s),1,0,0,1
11510,Female,31,Unmarried partner,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3,11510,Sunny,10AM,Bar,2h,0,11510,No Urgent Place,Partner,0,0,0,1
14244,Male,21,Single,Bachelors degree,Student,$100000 or More,1~3,4~8,1~3,4~8,1~3,14244,Sunny,2PM,Restaurant(<20),2h,1,14244,No Urgent Place,Alone,1,0,0,1
14518,Female,36,Unmarried partner,Graduate degree (Masters or Doctorate),Legal,$62500 - $74999,1~3,gt8,4~8,gt8,1~3,14518,Sunny,7AM,Coffee House,2h,1,14518,Work,Alone,0,0,1,0
20379,Female,26,Unmarried partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,20379,Sunny,7AM,Coffee House,1d,0,20379,Work,Alone,0,0,1,0
